100 Days My Prince ,2018,,
12 Signs of Love ,2012,,
12 Years Promise ,2014,,
18 Again ,2020,,
1st Republic ,1981–82,,
4 Legendary Witches ,2014–15,,
365: Repeat the Year ,2020,,
49 Days ,2011,,
5th Republic ,2005,,
7 First Kisses ,2016–17,,
7th Grade Civil Servant ,2013,,
"90 Days, Time to Love ",2006–07,,
A Beautiful Mind ,2016,,
A Bird That Doesn't Sing ,2015,,
A Bloody Lucky Day ,2023,,
A Daughter Just Like You ,2015,,
A Gentleman's Dignity ,2012,,
A Girl Who Sees Smells ,2015,,
A Good Day to Be a Dog ,2023–24,,
A Happy Woman ,2007,,
A Hundred Year Legacy ,2013,,
A Killer Paradox ,2024,,
A Korean Odyssey ,2017–18,,
A Little Love Never Hurts ,2013–14,,
A Love So Beautiful ,2020–21,,
A Love to Kill ,2005,,
A Man Called God ,2010,,
A Model Family ,2022,,
A New Leaf ,2014,,
A Piece of Your Mind ,2020,,
A Place in the Sun ,2018–19,,
A Pledge to God ,2018–19,,
A Poem a Day ,2018,,
A Shop for Killers ,2024,,
A Shoulder to Cry On ,2023,,
A Superior Day ,2022,,
A Tale of Two Sisters ,2013,,
A Thousand Days' Promise ,2011,,
A Thousand Kisses ,2011–12,,
A Time Called You ,2023,,
A Witch's Love ,2014,,
A-Teen ,2018,,
A-Teen 2 ,2019,,
About Time ,2018,,
Abyss ,2019,,
Ad Genius Lee Tae-baek ,2013,,
Adamas ,2022,,
Adult Trainee ,2021,,
"Aeja's Older Sister, Minja ",2008,,
Aftermath ,2014,,
Again My Life ,2022,,
Age of Innocence ,2002,,
Age of Warriors ,2003–04,,
Agency ,2023,,
Air City ,2007,,
Alchemy of Souls ,2022–23,,
Alice ,2020,,
All About Eve ,2000,,
All About My Mom ,2015–16,,
All About My Romance ,2013,,
All In ,2003,,
All My Love for You ,2010–11,,
All of Us Are Dead ,2022–present,,
All That We Loved ,2023,,
Alone in Love ,2006,,
Amanza ,2020,,
Amor Fati ,2021,,
Andante ,2017–18,,
Ang Shim Jung ,2010–11,,
Angel Eyes ,2014,,
Angel's Choice ,2012,,
Angel's Last Mission: Love ,2019,,
Angel's Revenge ,2014,,
Angry Mom ,2015,,
Anna ,2022,,
Another Miss Oh ,2016,,
Another Peaceful Day of Second-Hand Items ,2021,,
Apgujeong Midnight Sun ,2014–15,,
April Kiss ,2004,,
Arang and the Magistrate ,2012,,
Are You Human? ,2018,,
Argon ,2017,,
Arthdal Chronicles ,2019–23,,
Artificial City ,2021–22,,
Ask the Stars ,TBA,,
Asphalt Man ,1995,,
Assembly ,2015,,
Assorted Gems ,2009–10,,
At Eighteen ,2019,,
"At a Distance, Spring Is Green ",2021,,
Athena: Goddess of War ,2010–11,,
Autumn Shower ,2005,,
Avengers Social Club ,2017,,
Awaken ,2020–21,,
Babel ,2019,,
Baby Faced Beauty ,2011,,
Babysitter ,2016,,
Bachelor's Vegetable Store ,2011–12,,
Backstreet Rookie ,2020,,
Bad and Crazy ,2021–22,,
Bad Family ,2006,,
Bad Guy ,2010,,
Bad Guys ,2014,,
Bad Guys 2 ,2017–18,,
Bad Housewife ,2005,,
Bad Memory Eraser ,TBA,,
Bad Papa ,2018,,
Bad Prosecutor ,2022,,
"Bad Thief, Good Thief ",2017,,
"Bad Woman, Good Woman ",2007,,
Ballad of Seodong ,2005–06,,
Band of Sisters ,2017,,
Banjun Drama ,2004–06,,
Bargain ,2022,,
Basketball ,2013,,
Battle for Happiness ,2023,,
Be Melodramatic ,2019,,
Be My Dream Family ,2021,,
Be Positive ,2016,,
"Be Strong, Geum-soon! ",2005,,
Beating Again ,2015,,
Beating Heart ,2005,,
Beautiful Days ,2001,,
Beautiful Gong Shim ,2016,,
"Beautiful Love, Wonderful Life ",2019–20,,
Beautiful World ,2019,,
Beauty and Mr. Romantic ,2024,,
Because This Is My First Life ,2017,,
Because This Is My First Twenty ,2018,,
Becky's Back ,2016,,
Becoming a Billionaire ,2010,,
Becoming Witch ,2022,,
Beethoven Virus ,2008,,
Begins ? Youth ,2024,,
Behind Every Star ,2022,,
Behind the White Tower ,2007,,
Behind Your Touch ,2023,,
Bel Ami ,2013–14,,
Best Chicken ,2019,,
Beyond Evil ,2021,,
Beyond the Clouds ,2014,,
Big ,2012,,
Big Bet ,2022–23,,
Big Issue ,2019,,
Big Man ,2014,,
Big Mouth ,2022,,
Big Thing ,2010,,
"Billie Jean, Look at Me ",2006–07,,
Birdie Buddy ,2011,,
Birth of a Beauty ,2014–15,,
Birthcare Center ,2020,,
Birthday Letter ,2019,,
Bitter Sweet Hell ,2024,,
Bitter Sweet Life ,2008,,
Bizarre Bunch ,2005–06,,
Black ,2017,,
Black Dog: Being A Teacher ,2019–20,,
Black Knight ,2023,,
Black Knight: The Man Who Guards Me ,2017–18,,
Blade Man ,2014,,
Blessing of the Sea ,2019,,
Blind ,2022,,
Blood ,2015,,
Blood Free ,2024,,
Blooded Palace: The War of Flowers ,2013,,
Bloodhounds ,2023,,
Bloody Heart ,2022,,
Bloody Romance ,2024,,
Blossom Sisters ,2010,,
Blow Breeze ,2016–17,,
Blue Birthday ,2021,,
Bodyguard ,2003,,
Bo-ra! Deborah ,2023,,
Born Again ,2020,,
Bossam: Steal the Fate ,2021,,
Boyhood ,2023,,
Boys Over Flowers ,2009,,
Brain ,2011–12,,
Brain Works ,2023,,
Branding in Seongsu ,2024,,
Bravo My Life ,2017–18,,
"Bravo, My Life ",2022,,
"Bravo, My Love! ",2011–12,,
"Bread, Love and Dreams ",2010,,
Bridal Mask ,2012,,
Bride of the Century ,2014,,
Bride of the Sun ,2011–12,,
Brilliant Heritage ,2020,,
Brilliant Legacy ,2009,,
"Bring It On, Ghost ",2016,,
Bubble Gum ,2015,,
Bubbly Lovely ,2016–17,,
Bulgasal: Immortal Souls ,2021–22,,
Business Proposal ,2022,,
Cain and Abel ,2009,,
Café Minamdang ,2022,,
Call It Love ,2023,,
"Can We Fall in Love, Again? ",2014,,
Can We Get Married? ,2012–13,,
Can't Lose ,2011,,
Can't Stand Anymore ,2013–14,,
Capital Scandal ,2007,,
Captivating the King ,2024,,
Castaway Diva ,2023,,
Catch the Ghost ,2019,,
Cats on the Roof ,2003,,
Celebrity ,2023,,
CEO-dol Mart ,2023,,
Cheat on Me If You Can ,2020–21,,
Cheer Up ,2022,,
Cheer Up! ,2015,,
"Cheer Up, Mr. Kim! ",2012–13,,
Cheese in the Trap ,2016,,
Cheongdam-dong Alice ,2012–13,,
Cheongdam-dong Scandal ,2014–15,,
Cheo Yong ,2014–15,,
Chicago Typewriter ,2017,,
Chicken Nugget ,2024,,
Chief Detective 1958 ,2024,,
Chief of Staff ,2019,,
Children of a Lesser God ,2018,,
Children of Nobody ,2018–19,,
Children of the 20th Century ,2017,,
Chimera ,2021,,
Chip In ,2020,,
Choco Bank ,2016,,
Chocolate ,2019–20,,
Chunja's Special Day ,2008,,
Cinderella Man ,2009,,
Cinderella with Four Knights ,2016,,
Cinderella's Stepsister ,2010,,
Circle ,2017,,
City Conquest ,cancelled,,
City Hunter ,2011,,
City of the Sun ,2015,,
Class of Lies ,2019,,
Clean with Passion for Now ,2018–19,,
Cleaning Up ,2022,,
Cloud Stairs ,2006,,
Coffee House ,2010,,
Coffee Prince ,2007,,
"Coffee, Do Me a Favor ",2018,,
Color Rush ,2020–22,,
Coma ,2006,,
Come and Hug Me ,2018,,
Come Back Mister ,2016,,
Confession ,2019,,
Connect ,2022,,
Connection ,2024,,
Conspiracy in the Court ,2007,,
"Cool Guys, Hot Ramen ",2011,,
Couple or Trouble ,2006,,
Crash ,2024,,
Crash Course in Romance ,2023,,
Crash Landing on You ,2019–20,,
Crazy Love ,2013,,
Crazy Love ,2022,,
Creating Destiny ,2009–10,,
Criminal Minds ,2017,,
Cross ,2018,,
Cruel Love ,2007–08,,
Cunning Single Lady ,2014,,
Curtain Call ,2022,,
D-Day ,2015,,
D.P. ,2021–23,,
Dae Jang Geum Is Watching ,2018–19,,
Dae Jo-yeong ,2006–07,,
Daemyeong ,1981,,
Daily Dose of Sunshine ,2023,,
Dal-ja's Spring ,2007,,
Dali & Cocky Prince ,2021,,
Damo ,2003,,
Dangerous Woman ,2011–12,,
Dare to Love Me ,2024,,
Daring Women ,2010,,
Dark Hole ,2021,,
Dating Agency: Cyrano ,2013,,
Daughters-in-Law ,2007–08,,
Dear Archimedes ,2019,,
Dear Heaven ,2005–06,,
Dear My Friends ,2016,,
Dear X Who Doesn't Love Me ,2022,,
Dear.M ,2022,,
Death's Game ,2023–24,,
Deep Rooted Tree ,2011,,
Definitely Neighbors ,2010,,
Delayed Justice ,2020–21,,
Delicious Proposal ,2001,,
Delightfully Deceitful ,2023,,
Delivery ,2021,,
Delivery Man ,2023,,
Descendants of the Sun ,2016,,
Designated Survivor: 60 Days ,2019,,
Destined With You ,2023,,
Detectives in Trouble ,2011,,
Devilish Charm ,2018,,
Diary of a Night Watchman ,2014,,
Diary of a Prosecutor ,2019–20,,
Did We Really Love? ,1999,,
Different Dreams ,2019,,
Dinner Mate ,2020,,
Discovery of Love ,2014,,
Distorted ,2017,,
Divorce Attorney Shin ,2023,,
Divorce Lawyer in Love ,2015,,
DNA Lover ,2024,,
Do Do Sol Sol La La Sol ,2020,,
Do You Like Brahms? ,2020,,
Doctor Cha ,2023,,
Doctor Detective ,2019,,
Doctor Doctor ,2000,,
Doctor John ,2019,,
Doctor Lawyer ,2022,,
Doctor Prisoner ,2019,,
Doctor Slump ,2024,,
Doctor Stranger ,2014,,
Dokgo Rewind ,2018,,
Dong Yi ,2010,,
Don't Cry My Love ,2008–09,,
Don't Dare to Dream ,2016,,
Don't Hesitate ,2009–10,,
Don't Look Back: The Legend of Orpheus ,2013,,
Doom at Your Service ,2021,,
Doona! ,2023,,
Drama City ,1984–2008,,
Drama City: What Should I Do? ,2004,,
Drama Special Series ,2010–13,,
Just an Ordinary Love Story ,2012,,
Puberty Medley ,2013,,
"Rock, Rock, Rock ",2010,,
White Christmas ,2011,,
Drama Stage ,2017–present,,
Don't Announce Your Husband's Death ,2022,,
Find the 1st Prize ,2022,,
The Apartment Is Beautiful ,2022,,
Dream ,2009,,
Dream High ,2011,,
Dream High 2 ,2012,,
Dream of the Emperor ,2012–13,,
Dreaming of Cinde Fxxxing Rella ,2024,,
Drinking Solo ,2016,,
Dr. Brain ,2021,,
Dr. Champ ,2010,,
Dr. Frost ,2014–15,,
Dr. Ian ,2015,,
Dr. Jin ,2012,,
Dr. Kkang ,2006,,
Dr. Park's Clinic ,2022,,
Dr. Romantic ,2016–23,,
Duel ,2017,,
Dummy Mommy ,2012,,
Durian's Affair ,2023,,
Duty After School ,2023,,
East of Eden ,2008–09,,
Eccentric! Chef Moon ,2020,,
"Eight Days, Assassination Attempts against King Jeongjo ",2007,,
"Eighteen, Twenty-Nine ",2005,,
Emergency Couple ,2014,,
Emperor of the Sea ,2004–05,,
Empire of Gold ,2013,,
Empress Cheonchu ,2009,,
Empress Ki ,2013–14,,
Empress Myeongseong ,2001–02,,
Enchanting Neighbor ,2015,,
Encounter ,2018–19,,
Endless Love ,2014,,
Endless Love Series ,2000–06,,
Autumn in My Heart ,2000,,
Spring Waltz ,2006,,
Summer Scent ,2003,,
Winter Sonata ,2002,,
Enemies from the Past ,2017–18,,
Entertainer ,2016,,
Entourage ,2016,,
Erexion ,2006,,
Eve ,2022,,
Evergreen ,2018,,
Everybody Say Kimchi ,2014,,
Evilive ,2023,,
Exit ,2018,,
Exo Next Door ,2015,,
Extracurricular ,2020,,
Extraordinary Attorney Woo ,2022–present,,
Extraordinary You ,2019,,
Ex-Girlfriends' Club ,2015,,
Eyes of Dawn ,1991–92,,
Faith ,2012,,
Falling for Challenge ,2015,,
Familiar Wife ,2018,,
Family ,2012–13,,
Family Secret ,2014–15,,
Family's Honor ,2008–09,,
Family: The Unbreakable Bond ,2023,,
"Fanletter, Please! ",2022,,
Fantastic ,2016,,
Fashion 70s ,2005,,
Fashion King ,2012,,
Fatal Promise ,2020,,
Fates & Furies ,2018–19,,
"Father, I'll Take Care of You ",2016–17,,
Father's House ,2009,,
Feast of the Gods ,2012,,
Feel Good to Die ,2018,,
Fight for My Way ,2017,,
Find Me in Your Memory ,2020,,
Fireworks ,2000,,
Fireworks ,2006,,
First Love ,1996–97,,
First Love Again ,2016–17,,
First Love of a Royal Prince ,2004,,
First Wives' Club ,2007–08,,
Five Enough ,2016,,
Five Fingers ,2012,,
Flames of Desire ,2010–11,,
Flex X Cop ,2024–present,,
Flower Band ,2012,,
Flower Crew: Joseon Marriage Agency ,2019,,
Flower Grandpa Investigation Unit ,2014,,
Flower of Evil ,2020,,
Flower of Queen ,2015,,
Flower of Revenge ,2013,,
Flowers of the Prison ,2016,,
Fly High Butterfly ,2022,,
Forbidden Love ,2004,,
Forecasting Love and Weather ,2022,,
Forest ,2020,,
Forever Young ,2015,,
Foundation of the Kingdom ,1983,,
Four Sisters ,2001,,
Frankly Speaking ,2024,,
"Freedom Fighter, Lee Hoe-young ",2010,,
Freeze ,2006,,
"Friend, Our Legend ",2009,,
Friends ,2002,,
"From Now On, Showtime! ",2022,,
Full House ,2004,,
Full House Take 2 ,2012,,
Gangnam Beauty ,2018,,
Gangnam Scandal ,2018–19,,
Gap-dong ,2014,,
Gaus Electronics ,2022,,
Get Karl! Oh Soo-jung ,2007,,
Get Revenge ,2020–21,,
Get Up ,2008,,
Ghost Doctor ,2022,,
Giant ,2010,,
Girls' Generation 1979 ,2017,,
Glamorous Temptation ,2015–16,,
Glass Castle ,2008–09,,
Glass Mask ,2012–13,,
Glass Slippers ,2002,,
Glitch ,2022,,
Gloria ,2010–11,,
Glorious Day ,2014,,
Glory Jane ,2011,,
Go Back ,2017,,
God of War ,2012,,
Goddess of Fire ,2013,,
Goddess of Marriage ,2013,,
God's Gift: 14 Days ,2014,,
"Gogh, The Starry Night ",2016,,
Gold Mask ,2022,,
Golden Apple ,2005–06,,
Golden Bride ,2007–08,,
Golden Cross ,2014,,
Golden Fish ,2010,,
Golden House ,2010,,
Golden Pouch ,2016–17,,
Golden Rainbow ,2013–14,,
Golden Time ,2012,,
Good Casting ,2020,,
Good Doctor ,2013,,
Good Job ,2022,,
"Good Job, Good Job ",2009,,
Good Manager ,2017,,
Good Partner ,2024,,
Goodbye Dear Wife ,2012,,
Goodbye Earth ,2024,,
Goodbye Mr. Black ,2016,,
Goodbye My Love ,1999,,
Goodbye Solo ,2006,,
Goodbye to Goodbye ,2018,,
Gourmet ,2008,,
Graceful Family ,2019,,
Graceful Friends ,2020,,
Gracious Revenge ,2019–20,,
Grand Prince ,2018,,
Great Inheritance ,2006,,
Green Mothers' Club ,2022,,
Green Rose ,2005,,
Grid ,2022,,
Grudge: The Revolt of Gumiho ,2010,,
Gu Family Book ,2013,,
Guardian Angel ,2001,,
Guardian: The Lonely and Great God ,2016–17,,
Gunman in Joseon ,2014,,
"Gwanggaeto, The Great Conqueror ",2011–12,,
Gyebaek ,2011,,
Gyeongseong Creature ,2023–24,,
H.I.T ,2007,,
Haechi ,2019,,
Happiness ,2021,,
Happiness in the Wind ,2010,,
Happy Ending ,2012,,
Happy Home ,2016,,
Happy Sisters ,2017–18,,
Happy Together ,1999,,
He Is Psychometric ,2019,,
He Who Can't Marry ,2009,,
Heading to the Ground ,2009,,
Healer ,2014–15,,
Heard It Through the Grapevine ,2015,,
Heart Surgeons ,2018,,
Heart to Heart ,2015,,
Heartbeat ,2023,,
Heartless City ,2013,,
Hearts and Hari ,2020,,
Hearts of Nineteen ,2006–07,,
Heartstrings ,2011,,
Heaven & Earth ,2007,,
Hell Is Other People ,2019,,
Hellbound ,2021–present,,
Hello Franceska ,2005–06,,
Hello Monster ,2015,,
Hello My Teacher ,2005,,
"Hello, Me! ",2021,,
Hello! Miss ,2007,,
"Hello, My Twenties! ",2016–17,,
Her Private Life ,2019,,
Here Comes Mr. Oh ,2012–13,,
Here's My Plan ,2021,,
Hero ,2009–10,,
"Hi Bye, Mama! ",2020,,
Hi! School: Love On ,2014,,
Hidden Identity ,2015,,
Hide ,2024,,
Hide and Seek ,2018,,
High Class ,2021,,
High End Crush ,2015–16,,
High Kick Through the Roof ,2009–10,,
High Kick! ,2006–07,,
High Kick: Revenge of the Short Legged ,2011–12,,
High School King of Savvy ,2014,,
High Society ,2015,,
History of a Salaryman ,2012,,
Hit the Top ,2017,,
Hogu's Love ,2015,,
Hold Me Tight ,2018,,
Hold My Hand ,2013–14,,
Home for Summer ,2019,,
Home Sweet Home ,2010,,
Homemade Love Story ,2020–21,,
Hometown ,2021,,
Hometown Cha-Cha-Cha ,2021,,
Hong Gil-dong ,2008,,
Hong Kong Express ,2005,,
Hong Rang ,2024,,
Hospital Playlist ,2020–21,,
Hospital Ship ,2017,,
Hot Blood ,2009,,
Hot Stove League ,2019–20,,
Hotel del Luna ,2019,,
Hotel King ,2014,,
Hotelier ,2001,,
House of Bluebird ,2015,,
How Are U Bread ,2020,,
How Long I've Kissed ,2012,,
How to Be Thirty ,2021,,
How to Buy a Friend ,2020,,
How to Meet a Perfect Neighbor ,2007,,
How Should I Be ,2002,,
Hur Jun ,1999–2000,,
"Hur Jun, The Original Story ",2013,,
Hush ,2020–21,,
Hwang Jini ,2006,,
Hwarang: The Poet Warrior Youth ,2016–17,,
"Hyde Jekyll, Me ",2015,,
Hyena ,2020,,
I Am Legend ,2010,,
I Am Sam ,2007,,
I Am the Mother Too ,2018,,
I Can Hear Your Voice ,2013,,
"I Do, I Do ",2012,,
I Have a Lover ,2015–16,,
I Love Lee Taly ,2012,,
I Need Romance ,2011,,
I Need Romance 2012 ,2012,,
I Need Romance 3 ,2014,,
I Order You ,2015,,
I Picked Up a Celebrity on the Street ,2018,,
I Wanna Hear Your Song ,2019,,
I'm After You ,2015,,
I'm Not a Robot ,2017–18,,
"I'm Sorry, But I Love You ",2016–17,,
"I'm Sorry, I Love You ",2004,,
Ice Adonis ,2012,,
Ice Girl ,2005,,
Idol Drama Operation Team ,2017,,
Idol: The Coup ,2021,,
If Tomorrow Comes ,2011–12,,
If You Wish Upon Me ,2022,,
Iljimae ,1993,,
Iljimae ,2008,,
Imaginary Cat ,2015–16,,
Imitation ,2021,,
Immortal Admiral Yi Sun-sin ,2004–05,,
In-soon Is Pretty ,2007,,
Incarnation of Money ,2013,,
Innocent Defendant ,2017,,
Insider ,2022,,
Inspector Koo ,2021,,
Inspiring Generation ,2014,,
"Insu, the Queen Mother ",2011–12,,
Into the Flames ,2014,,
Introverted Boss ,2017,,
Invincible Lee Pyung Kang ,2009,,
Ireland ,2004,,
Iris ,2009,,
Iris II: New Generation ,2013,,
Is It Fate? ,TBA,,
Island ,2022–23,,
Itaewon Class ,2020,,
Item ,2019,,
It's Beautiful Now ,2022,,
It's Dangerous Beyond the Blankets ,2017–18,,
It's My Life ,2018–19,,
It's Okay to Not Be Okay ,2020,,
"It's Okay, Daddy's Girl ",2010–11,,
"It's Okay, That's Love ",2014,,
Ja Myung Go ,2009,,
Jang Bo-ri Is Here! ,2014,,
"Jang Ok-jung, Living by Love ",2013,,
Jang Yeong-sil ,2016,,
Jealousy ,1992,,
Jejungwon ,2010,,
Jeon Woo-chi ,2012–13,,
Jeong Do-jeon ,2014,,
Jewel in the Palace ,2003–04,,
Ji Woon-soo's Stroke of Luck ,2012,,
Jikji ,2005,,
Jinxed at First ,2022,,
Jirisan ,2021,,
Jolly Widows ,2009–10,,
Joseon Attorney ,2023,,
Joseon Exorcist ,2021,,
Joseon Survival Period ,2019,,
Joseon X-Files ,2010,,
JTBC Drama Festa ,2017–present,,
Hello Dracula ,2020,,
Judge vs. Judge ,2017–18,,
Jugglers ,2017–18,,
Jumong ,2006–07,,
Jump ,1999,,
Jungle Fish ,2008,,
Jungle Fish 2 ,2010,,
Junwoo ,1975–78,,
Just Dance ,2018,,
Justice ,2019,,
Juvenile Justice ,2022,,
Kairos ,2020,,
KBS Drama Special ,2010–present,,
Cutting Off the Heart ,2010,,
Do You Know Taekwondo? ,2012,,
I'm Dying Soon ,2014,,
If We Were a Season ,2017,,
My Prettiest Moments ,2012,,
Pianist ,2010,,
Pinocchio's Nose ,2016,,
Reason ,2010,,
Review Notebook of My Embarrassing Days ,2018,,
The Memory in My Old Wallet ,2013,,
KBS TV Novel ,1987–2018,,
A Sea of Her Own ,2017,,
Dal Soon's Spring ,2017–18,,
Dear My Sister ,2011–12,,
Eunhui ,2013–14,,
In Still Green Days ,2015,,
Land of Gold ,2014,,
Landscape in My Heart ,2007,,
"Love, My Love ",2012–13,,
My Mind's Flower Rain ,2016,,
Samsaengi ,2013,,
Single-minded Dandelion ,2014–15,,
Sunok ,2006,,
That Sun in the Sky ,2016–17,,
The Stars Are Shining ,2015–16,,
Through the Waves ,2018,,
Kill Heel ,2022,,
Kill It ,2019,,
"Kill Me, Heal Me ",2015,,
Kim Is a Genius ,2019,,
"Kim Su-ro, The Iron King ",2010,,
Kimcheed Radish Cubes ,2007–08,,
Kimchi Cheese Smile ,2007–08,,
Kimchi Family ,2011–12,,
King of Ambition ,2013,,
King the Land ,2023,,
Kingdom ,2019–20,,
Kingmaker: The Change of Destiny ,2020,,
Kiss Sixth Sense ,2022,,
Kkondae Intern ,2020,,
Knight Flower ,2024,,
Kokdu: Season of Deity ,2023,,
Korea–Khitan War ,2023–24,,
Korean Peninsula ,2012,,
L.U.C.A.: The Beginning ,2021,,
Lady Cha Dal-rae's Lover ,2018–19,,
Land of Wine ,2003,,
Last ,2015,,
Last Scandal ,2008,,
Late Night Restaurant ,2015,,
Law School ,2021,,
Lawless Lawyer ,2018,,
Lawyers ,2005,,
"Lee San, Wind of the Palace ",2007–08,,
Left-Handed Wife ,2019,,
Legal High ,2019,,
Legend of Hyang Dan ,2007,,
Legend of the Patriots ,2010,,
Less Than Evil ,2018–19,,
Let Me Be Your Knight ,2021–22,,
Let Me Introduce Her ,2018,,
Let's Eat ,2013–14,,
Let's Eat 2 ,2015,,
Let's Eat 3 ,2018,,
Level Up ,2019,,
Leverage ,2019,,
Liar Game ,2014,,
Lie After Lie ,2020,,
Lie to Me ,2011,,
Lies Hidden in My Garden ,2023,,
Life ,2018,,
Life Is Beautiful ,2010,,
Life on Mars ,2018,,
Lights and Shadows ,2011–12,,
Light on Me ,2021,,
Light Shop ,2024,,
Like Flowers in Sand ,2024,,
Likeable or Not ,2007–08,,
Line Romance ,2014,,
"Link: Eat, Love, Kill ",2022,,
Listen to Love ,2016,,
Listen to My Heart ,2011,,
Little Women ,2022,,
Live ,2018,,
Live On ,2020–21,,
Live Up to Your Name ,2017,,
Live Your Own Life ,2023–24,,
Liver or Die ,2019,,
Living Among the Rich ,2011–12,,
Living in Style ,2011–12,,
Lobbyist ,2007,,
Local Hero ,2016,,
Longing for You ,2023,,
Look Back in Anger ,2000,,
Loss Time Life ,2019,,
Lost ,2021,,
Love & Secret ,2014–15,,
Love ,ft. Marriage and Divorce,,2021–22
Love Again ,2012,,
Love Alarm ,2019–21,,
Love Alert ,2018,,
Love All Play ,2022,,
Love and Obsession ,2009–10,,
Love Can't Wait ,2006,,
Love for a Thousand More ,2016,,
Love in 3 Colors ,1999,,
Love in Contract ,2022,,
Love in Her Bag ,2013,,
Love in Sadness ,2019,,
Love in the Moonlight ,2016,,
Love Is for Suckers ,2022,,
Love Letter ,2003,,
Love Me When You Can ,2006–07,,
Love on a Rooftop ,2015,,
Love Playlist ,2017–19,,
Love Rain ,2012,,
Love Returns ,2017–18,,
Love Revolution ,2020,,
Love Scene Number ,2021,,
Love Song for Illusion ,2024,,
Love Story in Harvard ,2004–05,,
Love to Hate You ,2023,,
Love to the End ,2018,,
Love Truly ,2006,,
Love Twist ,2021–22,,
Love with Flaws ,2019–20,,
Loveholic ,2005,,
Lovely Horribly ,2018,,
Lovely Runner ,2024,,
Lovers ,2006–07,,
Lovers in Bloom ,2017,,
Lovers in Paris ,2004,,
Lovers in Prague ,2005,,
Lovers of Haeundae ,2012,,
Lovers of Music ,2014,,
Lovers of the Red Sky ,2021,,
Lovestruck in the City ,2020–21,,
Loving You a Thousand Times ,2009–10,,
LTNS ,2024,,
Lucifer ,2007,,
Lucky Romance ,2016,,
Ma Boy ,2012,,
Mackerel Run ,2007,,
Mad Dog ,2017,,
Mad for Each Other ,2021,,
Madame Antoine: The Love Therapist ,2016,,
Made in Korea ,TBA,,
Maestra: Strings of Truth ,2023–24,,
Magic Cellphone ,2016,,
Magic Kid Masuri ,2002–04,,
Make a Woman Cry ,2015,,
Make Your Wish ,2014–15,,
Mama ,2014,,
Man and Woman ,2024,,
Man from the Equator ,2012,,
Man in a Veil ,2020–21,,
Man in the Kitchen ,2017–18,,
Man to Man ,2017,,
Man Who Dies to Live ,2017,,
Manhole ,2017,,
Manny ,2011,,
Marriage Contract ,2016,,
"Marriage, Not Dating ",2014,,
Marry Him If You Dare ,2013,,
Marry Me Now ,2018,,
"Marry Me, Mary! ",2010,,
Marry My Husband ,2024,,
Marrying a Millionaire ,2005–06,,
Marrying My Daughter Twice ,2016,,
Mask ,2015,,
Mask Girl ,2023,,
Master of Study ,2010,,
Master's Sun ,2013,,
Matrimonial Chaos ,2018,,
May I Help You? ,2022,,
May It Please the Court ,2022,,
May Queen ,2012,,
"Me Too, Flower! ",2011,,
Medical Top Team ,2013,,
